,obj_id,oid,link_bibcode,ra,dec,coo_bibcode,parallax,parallax_err,parallax_bibcode,pmra,pmdec,pm_err,pm_bibcode,radvel,radvel_err,rvz_bibcode,ids,EDR3 id,DR2 id,TIC,reported
782,Cl* NGC 188 PKM 785,4924398,2008AJ....135.2264G,10.20082271612,85.6779594009,2020yCat.1350....0G,0.5856,0.0238000005483627,2020yCat.1350....0G,-2.639,7.123,3.0,2020yCat.1350....0G,-43.59,,2008AJ....135.2264G,Gaia EDR3 573990222692531328|TIC 461599525|Cl* NGC  188    PKM     785|Cl* NGC  188    SMV    5224|2MASS J00404823+8540406|Gaia DR2 573990222692531328,573990222692531328,5.739902226925313e+17,461599525.0,1
784,Cl* NGC 188 DGV 1837,303617,2008AJ....135.2264G,11.764147526880002,85.6055583324,2020yCat.1350....0G,0.6073,0.0173000004142522,2020yCat.1350....0G,-1.418,3.335,3.0,2020yCat.1350....0G,7.38,,2008AJ....135.2264G,Gaia EDR3 573977062912759552|TIC 461601603|2MASS J00470339+8536199|Cl* NGC  188    DGV    1837|Cl* NGC  188    PKM    1273|Cl* NGC  188    SMV    7781|Gaia DR2 573977062912759552,573977062912759552,5.7397706291275955e+17,461601603.0,1
787,NGC 188 3016,303865,2008AJ....135.2264G,10.47701682072,85.15542172559,2020yCat.1350....0G,0.4975,0.0161000005900859,2020yCat.1350....0G,2.838,0.035,3.0,2020yCat.1350....0G,-21.25,,2008AJ....135.2264G,Gaia EDR3 573935487629501056|TIC 461599168|2MASS J00415450+8509194|Cl* NGC  188    DGV     831|Cl* NGC  188    PKM    4407|Cl* NGC  188    UMK      61|Cl* NGC  188    SMV    5389|NGC   188  3016|Gaia DR2 573935487629501056,573935487629501056,5.7393548762950106e+17,461599168.0,1
790,Cl* NGC 188 DGV 319,304305,2008AJ....135.2264G,7.954907075369999,85.07272013434,2020yCat.1350....0G,0.7005,0.0239000003784894,2020yCat.1350....0G,3.728,-2.488,3.0,2020yCat.1350....0G,-26.31,,2008AJ....135.2264G,Gaia EDR3 573571995958405248|TIC 461595501|2MASS J00314916+8504218|Cl* NGC  188    DGV     319|Cl* NGC  188    PKM    7485|Cl* NGC  188    SMV    1788|Gaia DR2 573571995958405248,573571995958405248,5.7357199595840525e+17,461595501.0,1
794,Cl* NGC 188 PKM 1366,4926224,2008AJ....135.2264G,12.813461469160002,85.73394619641,2020yCat.1350....0G,0.409,0.0271000005304813,2020yCat.1350....0G,-3.384,-0.34,3.0,2020yCat.1350....0G,-43.42,,2008AJ....135.2264G,Gaia EDR3 573979055777797888|TIC 461619074|Cl* NGC  188    PKM    1366|Cl* NGC  188    SMV    9605|2MASS J00511519+8544022|Gaia DR2 573979055777797888,573979055777797888,5.739790557777979e+17,461619074.0,1
800,Cl* NGC 188 DGV 34,304440,2008AJ....135.2264G,14.56831399954,84.97383106688,2020yCat.1350....0G,0.531,0.0232999995350837,2020yCat.1350....0G,-5.342,3.212,3.0,2020yCat.1350....0G,-107.67,,2008AJ....135.2264G,Gaia EDR3 573741286387680000|TIC 461625688|2MASS J00581636+8458257|Cl* NGC  188    DGV      34|Cl* NGC  188    PKM    9362|Cl* NGC  188    SMV   11994|Gaia DR2 573741286387680000,573741286387680000,5.7374128638768e+17,461625688.0,1
803,Cl* NGC 188 DGV 1483,303866,2008AJ....135.2264G,11.577651186280002,85.45037260943,2020yCat.1350....0G,0.5391,0.0220999997109174,2020yCat.1350....0G,-4.015,12.792,3.0,2020yCat.1350....0G,-71.79,,2008AJ....135.2264G,Gaia EDR3 573968713496376064|TIC 461601529|2MASS J00461862+8527011|Cl* NGC  188    DGV    1483|Cl* NGC  188    PKM    4444|Cl* NGC  188    SMV    7414|Gaia DR2 573968713496376064,573968713496376064,5.7396871349637606e+17,461601529.0,1
814,Cl* NGC 188 PKM 1228,4925764,2008AJ....135.2264G,12.15267812745,85.69134493546,2020yCat.1350....0G,0.7128,0.0144999995827674,2020yCat.1350....0G,4.424,-3.759,3.0,2020yCat.1350....0G,-30.18,,2008AJ....135.2264G,Gaia EDR3 573979261935995520|TIC 461619058|Cl* NGC  188    PKM    1228|Cl* NGC  188    SMV    8508|2MASS J00483654+8541288|Gaia DR2 573979261935995520,573979261935995520,5.739792619359955e+17,461619058.0,1
815,Cl* NGC 188 DGV 1823,303618,2008AJ....135.2264G,11.885061956079998,85.57370576,2020yCat.1350....0G,0.6364,0.0121999997645616,2020yCat.1350....0G,3.125,-2.256,3.0,2020yCat.1350....0G,-29.22,,2008AJ....135.2264G,Gaia EDR3 573971084318291968|TIC 461601590|2MASS J00473241+8534252|Cl* NGC  188    DGV    1823|Cl* NGC  188    PKM    1287|Cl* NGC  188     MT      52|Cl* NGC  188    SMV    8026|Gaia DR2 573971084318291968,573971084318291968,5.73971084318292e+17,461601590.0,1
816,Cl* NGC 188 PKM 1539,4926520,2008AJ....135.2264G,13.251837207990002,85.69305325099,2020yCat.1350....0G,0.6311,0.0109000001102685,2020yCat.1350....0G,3.832,-3.552,3.0,2020yCat.1350....0G,-48.36,,2008AJ....135.2264G,Gaia EDR3 573978746540153856|TIC 461619063|Cl* NGC  188    PKM    1539|Cl* NGC  188    SMV   10295|2MASS J00530045+8541351|Gaia DR2 573978746540153856,573978746540153856,5.7397874654015386e+17,461619063.0,1
