obj_id,oid,link_bibcode,ra,dec,coo_bibcode,parallax,parallax_err,parallax_bibcode,pmra,pmdec,pm_err,pm_bibcode,radvel,radvel_err,rvz_bibcode,ids,EDR3 id,DR2 id,TIC
Cl* NGC 188 MT 93,4924978,2004PASP..116.1012S,11.103153127549998,85.22705614037,2020yCat.1350....0G,0.3893,0.06989999860525131,2020yCat.1350....0G,-2.48,-1.216,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573941809821326848|Cl* NGC  188     MT      93|Cl* NGC  188      E   II-23|Cl* NGC  188    PKM    4686|Cl* NGC  188    SMV    6497|Cl* NGC  188    FTS     439|Gaia DR2 573941809821326848,573941809821326848,573941809821326848,nan
Cl* NGC 188 DGV 137,302991,2004PASP..116.1012S,11.437349880970002,85.0717329026,2020yCat.1350....0G,0.5505,0.017000000923871994,2020yCat.1350....0G,-2.128,-1.066,3.0,2020yCat.1350....0G,-42.6,0.800000011920929,2018AJ....156..142D,Gaia EDR3 573932670130981632|TIC 461601032|2MASS J00454489+8504180|Cl* NGC  188    DGV     137|Cl* NGC  188    PKM    8406|Cl* NGC  188    SMV    7113|SBC9 3182|Gaia DR2 573932670130981632,573932670130981632,573932670130981632,461601032
Cl* NGC 188 PKM 4170,4924584,2004PASP..116.1012S,10.547671222449999,85.42274862403,2020yCat.1350....0G,0.5384,0.041999999433755875,2020yCat.1350....0G,-2.209,-1.039,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573956825027090944|TIC 461599412|Cl* NGC  188    PKM    4170|Cl* NGC  188    SMV    5635|2MASS J00421153+8525218|Gaia DR2 573956825027090944,573956825027090944,573956825027090944,461599412
Cl* NGC 188 PKM 959,4924687,2004PASP..116.1012S,10.654243869289997,85.60285567575,2020yCat.1350....0G,0.5258,0.01889999955892563,2020yCat.1350....0G,-2.264,-1.002,3.0,2020yCat.1350....0G,-43.15,,2008AJ....135.2264G,Gaia EDR3 573983282025400320|TIC 461599491|Cl* NGC  188    PKM     959|Cl* NGC  188    SMV    5865|2MASS J00423699+8536102|Gaia DR2 573983282025400320,573983282025400320,573983282025400320,461599491
Cl* NGC 188 PKM 4192,4924656,2004PASP..116.1012S,10.66162642888,85.39259408755,2020yCat.1350....0G,0.4513,0.03889999911189079,2020yCat.1350....0G,-2.115,-1.361,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573956618868483200|TIC 461599397|Cl* NGC  188    PKM    4192|Cl* NGC  188    SMV    5801|2MASS J00423882+8523332|Gaia DR2 573956618868483200,573956618868483200,573956618868483200,461599397
NGC 188 2216,303846,2004PASP..116.1012S,10.954097886100001,85.25997216806,2020yCat.1350....0G,0.5047,0.05090000107884407,2020yCat.1350....0G,-2.388,-1.034,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573942011682483328|TIC 461599272|2MASS J00434905+8515358|Cl* NGC  188    PKM    4307|Cl* NGC  188    SMV    6253|NGC   188  2216|Gaia DR2 573942011682483328,573942011682483328,573942011682483328,461599272
NGC 188 2037,303850,2004PASP..116.1012S,10.9926548173,85.23080905968,2020yCat.1350....0G,0.5338,0.03020000085234642,2020yCat.1350....0G,-2.222,-1.03,3.0,2020yCat.1350....0G,-42.94,,2008AJ....135.2264G,Gaia EDR3 573941878540798976|TIC 461601218|2MASS J00435830+8513507|Cl* NGC  188    PKM    4336|Cl* NGC  188    SMV    6309|NGC   188  2037|Cl* NGC  188    FTS     277|Gaia DR2 573941878540798976,573941878540798976,573941878540798976,461601218
Cl* NGC 188 SMV 5725,4928411,2004PASP..116.1012S,10.665583333333334,85.2233611111111,2004PASP..116.1012S,,,,,,-32768.0,,,,,Cl* NGC  188    SMV    5725,nan,nan,nan
NGC 188 3133,303839,2004PASP..116.1012S,11.006003505,85.33238264087,2020yCat.1350....0G,0.4825,0.026599999517202377,2020yCat.1350....0G,-2.406,-1.11,3.0,2020yCat.1350....0G,-42.78,,2008AJ....135.2264G,Gaia EDR3 573944283722434432|TIC 461601433|2MASS J00440147+8519562|Cl* NGC  188    DGV    1435|Cl* NGC  188    PKM    4240|Cl* NGC  188    SMV    6365|NGC   188  3133|Gaia DR2 573944283722434432,573944283722434432,573944283722434432,461601433
Cl* NGC 188 MT 94,4924945,2004PASP..116.1012S,11.060055398970002,85.22910498408,2020yCat.1350....0G,0.5956,0.06459999829530716,2020yCat.1350....0G,-2.041,-0.789,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573941805524028928|TIC 461601214|Cl* NGC  188     MT      94|Cl* NGC  188      E   II-21|Cl* NGC  188    PKM    4680|Cl* NGC  188    FTS     448|Cl* NGC  188    SMV    6421|2MASS J00441444+8513446|Gaia DR2 573941805524028928,573941805524028928,573941805524028928,461601214
NGC 188 1056,303900,2004PASP..116.1012S,11.32594231874,85.25368915601,2020yCat.1350....0G,0.518,0.03530000150203705,2020yCat.1350....0G,-2.317,-1.005,3.0,2020yCat.1350....0G,-41.57,,2008AJ....135.2264G,Gaia EDR3 573941569303142144|TIC 461601286|2MASS J00451828+8515130|Cl* NGC  188    PKM    4634|Cl* NGC  188    SMV    6918|GEN# +2.01881056|NGC   188  1056|UBV M  29935|Cl* NGC  188    FTS     314|Gaia DR2 573941569303142144,573941569303142144,573941569303142144,461601286
NGC 188 3128,303877,2004PASP..116.1012S,11.326607835949998,85.34578104324,2020yCat.1350....0G,0.5148,0.02800000086426735,2020yCat.1350....0G,-2.273,-0.999,3.0,2020yCat.1350....0G,-43.03,,2008AJ....135.2264G,Gaia EDR3 573944146283478400|TIC 461601451|2MASS J00451842+8520446|Cl* NGC  188    PKM    4513|Cl* NGC  188    SMV    6938|NGC   188  3128|Gaia DR2 573944146283478400,573944146283478400,573944146283478400,461601451
Cl* NGC 188 DGV 1489,303870,2004PASP..116.1012S,11.43554427271,85.41040435785,2020yCat.1350....0G,0.5302,0.023600000888109207,2020yCat.1350....0G,-2.253,-1.064,3.0,2020yCat.1350....0G,-41.94,,2008AJ....135.2264G,Gaia EDR3 573968198100311296|TIC 461601506|2MASS J00454456+8524373|Cl* NGC  188    DGV    1489|Cl* NGC  188    PKM    4465|Cl* NGC  188    SMV    7162|Gaia DR2 573968198100311296,573968198100311296,573968198100311296,461601506
Cl* NGC 188 PKM 8070,4923943,2020A&A...640A...1C,9.93858249274,84.83326760044,2020yCat.1350....0G,0.5097,0.018400000408291817,2020yCat.1350....0G,-2.353,-0.98,3.0,2020yCat.1350....0G,-42.1,0.20000000298023224,2018AJ....156..142D,Gaia EDR3 573549009293487360|TIC 461598969|Cl* NGC  188    PKM    8070|Cl* NGC  188    SMV    4385|2MASS J00394524+8449597|Gaia DR2 573549009293487360,573549009293487360,573549009293487360,461598969
Gaia EDR3 573549932709068416,14748467,2020A&A...640A...1C,12.411393502020001,84.77876294869,2020yCat.1350....0G,0.4792,0.06319999694824219,2020yCat.1350....0G,-2.323,-1.468,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573549932709068416|Gaia DR2 573549932709068416,573549932709068416,573549932709068416,nan
Cl* NGC 188 PKM 8800,4925901,2020A&A...640A...1C,12.264654941490003,84.90723266182,2020yCat.1350....0G,0.532,0.051899999380111694,2020yCat.1350....0G,-2.328,-1.112,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573552475329793152|TIC 461618421|Cl* NGC  188    PKM    8800|Cl* NGC  188    SMV    8852|2MASS J00490343+8454259|Gaia DR2 573552475329793152,573552475329793152,573552475329793152,461618421
Cl* NGC 188 PKM 8672,4925515,2020A&A...640A...1C,11.786319466179998,84.86779144186,2020yCat.1350....0G,0.5721,0.061900001019239426,2020yCat.1350....0G,-2.331,-1.122,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573552651425754240|Cl* NGC  188    PKM    8672|Cl* NGC  188    SMV    7804|Gaia DR2 573552651425754240,573552651425754240,573552651425754240,nan
Cl* NGC 188 DGV 167,302995,2020A&A...640A...1C,10.34882758596,84.93008134161,2020yCat.1350....0G,0.5221,0.019200000911951065,2020yCat.1350....0G,-2.057,-1.162,3.0,2020yCat.1350....0G,-42.87,,2008AJ....135.2264G,Gaia EDR3 573555468924280192|TIC 461599028|2MASS J00412373+8455481|Cl* NGC  188    DGV     167|Cl* NGC  188    PKM    8183|Cl* NGC  188    SMV    5081|Gaia DR2 573555468924280192,573555468924280192,573555468924280192,461599028
Cl* NGC 188 PKM 8184,4924250,2020A&A...640A...1C,10.266580557800001,84.92438723643,2020yCat.1350....0G,0.5331,0.03680000081658363,2020yCat.1350....0G,-2.359,-1.085,3.0,2020yCat.1350....0G,-41.17,,2008AJ....135.2264G,Gaia EDR3 573555503284019712|TIC 461599026|Cl* NGC  188    PKM    8184|Cl* NGC  188    SMV    4958|2MASS J00410395+8455277|Gaia DR2 573555503284019712,573555503284019712,573555503284019712,461599026
Cl* NGC 188 PKM 8493,4925035,2020A&A...640A...1C,11.20276618397,84.90417811866,2020yCat.1350....0G,0.5001,0.04919999837875366,2020yCat.1350....0G,-2.318,-1.19,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573555881241149440|TIC 461600932|Cl* NGC  188    PKM    8493|Cl* NGC  188    SMV    6611|2MASS J00444861+8454150|Gaia DR2 573555881241149440,573555881241149440,573555881241149440,461600932
Cl* NGC 188 DGV 105,302986,2020A&A...640A...1C,11.28859988731,84.93366445949,2020yCat.1350....0G,0.5449,0.026399999856948853,2020yCat.1350....0G,-2.289,-1.059,3.0,2020yCat.1350....0G,-42.47,,2008AJ....135.2264G,Gaia EDR3 573556396637219328|TIC 461600946|2MASS J00450926+8456010|Cl* NGC  188    DGV     105|Cl* NGC  188    PKM    8480|Cl* NGC  188    SMV    6773|Gaia DR2 573556396637219328,573556396637219328,573556396637219328,461600946
Cl* NGC 188 DGV 118,302989,2020A&A...640A...1C,11.07763242626,84.97765474866,2020yCat.1350....0G,0.5311,0.02850000001490116,2020yCat.1350....0G,-2.258,-1.026,3.0,2020yCat.1350....0G,-42.7,,2008AJ....135.2264G,Gaia EDR3 573556602795639168|TIC 461600972|2MASS J00441855+8458393|Cl* NGC  188    DGV     118|Cl* NGC  188    PKM    8459|Cl* NGC  188    SMV    6379|Gaia DR2 573556602795639168,573556602795639168,573556602795639168,461600972
Cl* NGC 188 PKM 8166,4924070,2020A&A...640A...1C,10.05151115866,84.96201142918,2020yCat.1350....0G,0.5485,0.029200000688433647,2020yCat.1350....0G,-2.347,-1.186,3.0,2020yCat.1350....0G,-42.64,,2008AJ....135.2264G,Gaia EDR3 573557221270929408|TIC 461599046|Cl* NGC  188    PKM    8166|Cl* NGC  188    SMV    4627|2MASS J00401235+8457431|Gaia DR2 573557221270929408,573557221270929408,573557221270929408,461599046
Cl* NGC 188 PKM 8143,4924327,2020A&A...640A...1C,10.346762297129999,85.00031881297,2020yCat.1350....0G,0.5252,0.026200000196695328,2020yCat.1350....0G,-2.371,-1.176,3.0,2020yCat.1350....0G,-41.28,,2008AJ....135.2264G,Gaia EDR3 573557564868306560|TIC 461599073|Cl* NGC  188    PKM    8143|Cl* NGC  188    SMV    5111|2MASS J00412321+8500011|Gaia DR2 573557564868306560,573557564868306560,573557564868306560,461599073
Cl* NGC 188 PKM 8146,4924306,2020A&A...640A...1C,10.321812475100002,84.99321563785,2020yCat.1350....0G,0.4784,0.05270000174641609,2020yCat.1350....0G,-2.366,-1.135,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573557564868307584|TIC 461599068|Cl* NGC  188    PKM    8146|Cl* NGC  188    SMV    5066|2MASS J00411720+8459354|Gaia DR2 573557564868307584,573557564868307584,573557564868307584,461599068
